review,sentiment
"This is certainly one of my all time fav episodes of Trek. There is just so much going on in this one film that its crazy cool. First the guys beam down to an alien planet thats about to explode. They meet a freaky librarian type dude (very well played). Then Kirk manages to get himself transported back to what is very much like 16th century earth. McCoy and Spock try to follow but instead nearly freeze to death on the frozen version of the alien world 100,000 years in the past. Kirk manages to get himself locked up and charged with witchcraft while Spock enjoys some amok time with a sexy cavegirl who was vanquished to the this frozen, awful world by some bad guy.<br /><br />Spock decides hes happy where hes at and gives McCoy a royal assestment whuppin' when the doc suggests they need to look for a way out. Anyhow,they all finally escape, leaving the poor cavegirl behind. It takes a ton of convincing before Spock finally gives in and leaves. You can literally taste the sadness at the end. Leaving the cavegirl all alone in her frozen wasteland just seems cruel and is really touching. Spock must have been out of his vulkin' mind to leave behind his greatest hope for love and being human. Albeit, in a not so nice neighborhood!<br /><br />Anyway, you just get so much bang for your buck with this episode....A love story, the Salem witch trials, Spock as a human, the desperation of being left in total isolation...abandoned, and three entirely different settings on the alien planet. Its amazing they managed to jam all this into one fifty minute film. This one is a classic, don't miss it....I want it on DVD fer shure vulcans!!!!!!",positive
"Quentin Tarantino's partner in crime Roger Avary (co-writer on ""Pulp Fiction"") ventures out on his own (Q.T. goes exec. prod. this time) for this over-boiled French thriller.<br /><br />Eric Stoltz is Zed, safe cracker extraordinaire who has drifted over to France from the U.S. at the request of an old friend. There he teams up with a motley crew of drugged out hippies who, with little or no planning, think they can knock off a bank vault full of gold bullion on a French national holiday.<br /><br />Avary has reworked the robbery gone wrong theme that Tarantino developed so well in ""Reservoir Dogs"", only ""Killing Zoe"" is not good enough to survive on the strength of this alone, so Avary has thrown in a rather beautiful distraction. Julie Delpy is Zoe, a student come call girl who entertains Zed on his arrival in Paris. A stunning distraction she certainly is, but nothing more.<br /><br />I guess our director wanted to add a different angle to this basic theme, but sadly the move did not help to add the depth his shallow plot so desperately needed. There was never a story in this idea, which was nothing more than that, an idea. Even the surreal journey into the seedy dives of Paris is uninspiring. I figure one would have to concede that there was never much of a movie in the story of a bunch of gangsters shooting each other up over a botched jewellery heist either, that is until you add intricate characters and snappy dialogue. ""Reservoir Dogs"" had it, ""Killing Zoe"" did not.<br /><br />Stoltz's strong interpretation of the doubtful Zed and Jean Hughes-Anglade's mad portrayal of the obsessive ring leader do nothing to lift proceedings. In short, Avary has unsuccessfully attempted to conjure entertainment out of nothing.<br /><br />Friday, September 15, 1995 - Astor Theatre",negative
"I had two reasons for watching this swashbuckler when it aired on Danish television yesterday. First of all, I wanted to see Gina Lollobrigida - and here I wasn't disappointed. She looked gorgeous. Second of all, through reading about the film I had gotten the impression that it featured absurd humor not unlike that which can be found in Philippe de Broca's films. On this account, however, I was sadly disappointed. I found the jokes predictable (apart from a few witty remarks on the topic of war) and the characters completely one-dimensional. Also, the action scenes were done in a strangely mechanical and uninspired fashion, with no sense of drama at all. I kept watching until the end, but I got bored very quickly and just sat there, waiting for the scenes with Lollobrigida.",negative
"I really have problems rating this movie. It is directed brilliantly, there is obviously a lot of money in it. Gere and Danes are intense (although her screen personality could use a bit more defining and spicing up), editing and cinematography are excellent. On the other hand, it is one of those really really sick movies where one cannot help but wonder whether the director himself likes to stage specific scenes, and, yes, one cannot help but wonder how many copycats will such a movie inspire.<br /><br />In purely artistic terms, it is a 9, but I really have to ask myself who these people are giving their money to produce such a movie ....",negative
"If you want a complete waste of time, because pulling lint out of your belly button or cleaning the wax out of your ears or grouting your tile is your idea of a carnival thrill ride, then you'll not want to miss this one.<br /><br />For one thing, forget the VHS cover. NO body in this movie looks that attractive (ie, the Indian girl). Someone else commented that whoever posed for the cover is not the same girl and I agree. The cover is THE most exciting thing about this movie.<br /><br />To put this in perspective, I bought this VHS for 99 cents at K-Mart and three minutes, no, 40 seconds into the movie, I knew I had been ripped off.<br /><br />I finished watching it because 1) I did pay 99 cents after all and, 2)there might possibly, conceivably been a hair of chance some scene in this turkey was worth more than a pinched loaf.<br /><br />There wasn't.<br /><br />Good grief, Fonda. I know you were hard up for roles when you did this, but this is beneath you.",negative
"An unexpected pleasure as I had heard nothing about this film.<br /><br />Shameful since it warrants having a wider audience.<br /><br />A wonderfully humane story with a social message gently told, although admittedly predictable in its resolution. Solidly acted by the principals. Beautifully photographed with muted colors floating against grey that captures the nostalgic tone of the film.<br /><br />My recent foray into Chinese film (Shower, The Road Home, Not One Less) has been an exciting one that I hope to continue exploring. China and its people is an amazing canvas for film-makers. ""The King of Masks"" can be highly recommended as a starting point for anyone similarly interested in recent Chinese film.<br /><br />",positive
"Okay, you have:<br /><br />Penelope Keith as Miss Herringbone-Tweed, B.B.E. (Backbone of England.) She's killed off in the first scene - that's right, folks; this show has no backbone!<br /><br />Peter O'Toole as Ol' Colonel Cricket from The First War and now the emblazered Lord of the Manor.<br /><br />Joanna Lumley as the ensweatered Lady of the Manor, 20 years younger than the colonel and 20 years past her own prime but still glamourous (Brit spelling, not mine) enough to have a toy-boy on the side. It's alright, they have Col. Cricket's full knowledge and consent (they guy even comes 'round for Christmas!) Still, she's considerate of the colonel enough to have said toy-boy her own age (what a gal!)<br /><br />David McCallum as said toy-boy, equally as pointlessly glamourous as his squeeze. Pilcher couldn't come up with any cover for him within the story, so she gave him a hush-hush job at the Circus.<br /><br />and finally:<br /><br />Susan Hampshire as Miss Polonia Teacups, Venerable Headmistress of the Venerable Girls' Boarding-School, serving tea in her office with a dash of deep, poignant advice for life in the outside world just before graduation. Her best bit of advice: ""I've only been to Nancherrow (the local Stately Home of England) once. I thought it was very beautiful but, somehow, not part of the real world."" Well, we can't say they didn't warn us.<br /><br />Ah, Susan - time was, your character would have been running the whole show. They don't write 'em like that any more. Our loss, not yours.<br /><br />So - with a cast and setting like this, you have the re-makings of ""Brideshead Revisited,"" right?<br /><br />Wrong! They took these 1-dimensional supporting roles because they paid so well. After all, acting is one of the oldest temp-jobs there is (YOU name another!)<br /><br />First warning sign: lots and lots of backlighting. They get around it by shooting outdoors - ""hey, it's just the sunlight!""<br /><br />Second warning sign: Leading Lady cries a lot. When not crying, her eyes are moist. That's the law of romance novels: Leading Lady is ""dewy-eyed.""<br /><br />Henceforth, Leading Lady shall be known as L.L.<br /><br />Third warning sign: L.L. actually has stars in her eyes when she's in love. Still, I'll give Emily Mortimer an award just for having to act with that spotlight in her eyes (I wonder . did they use contacts?)<br /><br />And lastly, fourth warning sign: no on-screen female character is ""Mrs."" She's either ""Miss"" or ""Lady.""<br /><br />When all was said and done, I still couldn't tell you who was pursuing whom and why. I couldn't even tell you what was said and done.<br /><br />To sum up: they all live through World War II without anything happening to them at all.<br /><br />OK, at the end, L.L. finds she's lost her parents to the Japanese prison camps and baby sis comes home catatonic. Meanwhile (there's always a ""meanwhile,"") some young guy L.L. had a crush on (when, I don't know) comes home from some wartime tough spot and is found living on the street by Lady of the Manor (must be some street if SHE's going to find him there.) Both war casualties are whisked away to recover at Nancherrow (SOMEBODY has to be ""whisked away"" SOMEWHERE in these romance stories!)<br /><br />Great drama.",negative
"This movie had it all,action,comedy,heroics,and best of all some of the finest actors.Gunga Din will remain a classic to be enjoyed by all who like good movies.Excellent picture,i have it in my collection.",positive
"I can't believe that anyone would green light this let alone voluntarily star in it. I will never be able to get that 90 mins of my life back.<br /><br />This has to be one of the worst films I have ever seen. Some films are so bad they're good. This has gone so far round again that's somehow it's so bad it's terrible. I was not exactly expecting much, it being a low budget, bandwagon jumping, rehash of a B Movie, but it still came in way under my expectation levels. Even TV movies have higher production values.<br /><br />There were (very) poor special effects, shocking dialogue, terrible acting and a completely unexplained plot. Who cursed her and why, why did the 6 inch snakes turn into 15 foot snakes, has anyone ever heard of highly venomous garter snakes or pythons? 100 passengers? 3,000 snakes? So many promises, none delivered. <br /><br />Some comments would have you believe that this film is worth watching for the last five minutes. It's not even worth a rental. Stay in and watch a low budget TV movie, you'll enjoy it a lot more. <br /><br />Why was this made? Oh yes, to shamelessly cash in on the internet phenomenon that is SOAP. Shame on you Mallachi Brothers, shame on you",negative
"I may be biased, I am the author of the novel The Hungry Bachelors Club, self-published in 1994. The screenplay was written by my good friend and hungry bachelor, Fred Dresch, who was the inspiration for the character Marlon in the film. I couldn't be more pleased with the trailer, I hope to see the film in its entirety and I will further comment. But Jorja Fox, who plays Delmar Youngblood, my character, is stellar. She carries the bulk of the emotional vehicles in fine form. I couldn't have done better myself! This looks like real people, hardly formula driven and thankfully drives my statement against racial prejudice home, gracefully and heartfelt.",positive
"Ya know, I have no idea how everybody else's teenage life was, but this does not reflect the folks I knew and hung around with let alone, myself. And just in case if you're wondering..NO..we weren't pristine/clean cut/Pat Boone type teens. (If there was ever such a thing!!!!)<br /><br />Look, I'm NOT saying being a teenager is easy. The better, well actually the BEST teen movie of this time is ""Fast Times at Ridgemont High"". Now those kids I knew and were as realistic as it got back then (and maybe now).<br /><br />This was crap. This was a low rent version of Fast Times and even then it didn't do much for me. It had a few moments, but not enough for me to recommend this, or even claim ""this is how it was for teens back in 1982"". I couldn't relate. The lead girl (girls) did nothing for me and please if they really wanted to keep their virginity, they would have, in which case, this film would not have been made. Pure crap and a bad staple to be left behind as a time-capsule cinema for teens/young adults in the early '80's.",negative
"Although there are some snippets in this 4-part documentary hinting at the necessity for recreational drug law reform, these are not very well-developed, in contrast to the many snippets from those who feel that the drugs that happen to currently be illegal are a scourge for which the only imaginable solution is incarceration of even those who are guilty even of mere possession of such drugs.<br /><br />Although this program, as a whole, leaves the viewer with the impression that the drug war is largely a futile exercise and a waste of money, and for that it deserves some praise, almost nothing in this documentary addresses the very real problems that total war against those who merely possess illegal drugs obviously causes and contributes to--very real problems that most drug warriors themselves would tell you, if asked, they think the drug war is designed to solve. For example, while many minutes are spent on the surge in violence associated with the rising popularity of crack cocaine in the 80's, at no point does this program even hint that the very laws designed to suppress crack cocaine make it impossible for drug sellers to enforce their contracts and business arrangements in courts of law, forcing them to resort to violence to stay in business. But instead of seeing the laws as an important cause of the violence, the drugs themselves seem to take the brunt of the blame. Inexplicably, alcohol prohibition, the violence that ensued, and the subsequent reversal of prohibition, is totally ignored by this program.<br /><br />This program will help to perpetuate ridiculous stereotypes of drug users, and it is these that are the primary force in driving the very expensive and very problematic drug war. The possibility of incorporating drugs other than alcohol into a happy and successful life is not really touched on. Use of any drug in excess is probably going to cause personal problems, but not all users do their drugs in excess, just like not all alcohol users are alcoholics.<br /><br />If you want a point of view from someone who believes that adults have a moral right not to be incarcerated and have their lives ruined by the criminal justice system just for using drugs that the government, for mostly very arbitrary political reasons rather than reasons based on sound social policy and legitimate science, has decided to totally prohibit, whose users it has decided to not-so-metaphorically wage war against, just forget about it. None of that is in here.<br /><br />On the other hand, this is hardly in the category of anti-drug propaganda. It is mostly an interesting neutrally-presented history of drugs in 20th century United States like marijuana, LSD, heroin, cocaine, MDMA, and Oxycontin. But there is a significant element of various people's points of view with regard to drug laws, and most (but not all) of that is not very thoughtful or well-informed and slanted in favor of the drug warrior mentality, especially with respect to drugs other than marijuana. <br /><br />The criminal justice system, along with its often harsh life-ruining penalties, is obviously not the only answer or the most appropriate answer to every single social problem, but unfortunately there's an epidemic in this nation of an as-yet unnamed disease whose primary symptoms are a lack of imagination with respect to social policy when it comes to certain drugs, a lack of compassion for fellow humans, a prejudice against people who use the drugs that are not governmentally-approved, perhaps a vested interest in the growth of the prison/policing industry, and a horrid apathy with regard to human dignity. It's morally wrong to kidnap or incarcerate people unless you have a very damn good reason for doing so, and the mere possession of an arbitrarily selected group of drugs is clearly not such a reason. This is really the primary issue when it comes to drugs, yet this program ignores it.<br /><br />So, in sum, the parts of this program that neutrally present history without feeding stereotypes of drug users that are at the heart of the drug war mentality are pretty good and interesting and entertaining. But when it comes to presenting a rational non-radical point of view with regard to drug policy, and giving the viewer examples not only of people with drug problems but also the many people who successfully incorporate drugs into happy and successful lives, it's pretty disappointing.",negative
